codunidadeembarque,descricao,dataatual,dataexportacao,liberado,codunidadenegocio,descsegurosaldomot,codfilial,taxaseguro,serie,endereco,codcidade,cep,fone,fax,email,embarcador,complemento,taxaiss,nomereduzido,utilizacte,emailcte,percmaxadiant,cnpj,inscricaoestadual,caminhobdcte,tpamb,versaodados,emailret,emailerro,rntrc,nomeseguradora,numeroapolice,respseguro,resppedagio,tipopedagio,codfornecedor,venccontrpedagio,versaocte,numero,usuarioins,datadigitacao,usuarioalt,tipo,percminlucro,percminlucrotercpf,percminlucroproprio,percminlucroagreg,bairro,margemmaxfrota,margemminfrota,margemminfrete,margemminpf,margemminpj,margemminagregado,margemminagregadomisto,percfrota,utilizamdfe,emailmdfe,versaomdfe,tpemis,versaomodal,versaoeventocte,versaoeventomdfe,versaoeventonfe,mdfetpamb,obscartafrete1,obscartafrete2,obscartafrete3,enderecocob,complementocob,codcidadecob,cepcob,bairrocob,numerocob,fonecob,faxcob,limitediariocartao,inscricaomunicipal,obsseguro,verifsublimite,premioseguro2,percmaxadiant2,arqlogo,nfsecnae,nfsecodservico,nfsedescservico,nfseversao,nfseserie,nfsetpamb,codcidadenfse,descontaisssaldoemp,impcartafrete,obs,cnpjseguradora,cidadanfseus,cidadanfsepw,cidadanfsechave,obsordemcar,obsordemcompra,tpemisnfe,sm_localorigem,sm_localdestino,sm_valores,sm_obs,sm_obs2,listanegocio,nfsecodtributacao,codmotoristager,codmotoristasup,celular,tpemismdfe,sm_transportadora,checklist,taxaadm,taxaseguro2,codmotoristasup2,ctecrt,descsegurosaldo,codmotoristaencarregado
32,INATIVO - DIAMANTINO - MT (ROGÉRIO),2024-12-13 15:38:29.337,,N,4.0,N,1,0.0,U,RODOVIA SENADOR ROBERTO CAMPOS,5204.0,78400000,,,bomfrete@bomfrete.com.br,,EM ANEXO AO POSTO TREVAO ,,DIAMANTINO (R),S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,,JESSICAM,2023-01-24 17:31:29.117000,NATHALYA,3.0,5.0,,,,NOVO DIAMANTINO,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,,,
16,INATIVO - MARINGA - PR ,2024-01-03 16:53:26.005,,N,6.0,S,1,0.0,U,RUA DEZENOVE DE NOVEMBRO,4038.0,78746055,06634265920,,bomfrete@bomfrete.com.br,,,,,S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,SOMPO SEGUROS ,,4,4,0,,,3.00,SN,S,2021-09-06 08:10:10.897000,THIAGO,3.0,7.0,,,,VILA BIRIGUI,7.0,7.0,0.0,7.0,7.0,7.0,7.0,,S,oneidelogistica@hotmail.com,3.00,1,3.00,3.00,3.00,2.00,1,,,,RUA DEZENOVE DE NOVEMBRO,,5316.0,78746055,VILA BIRIGUI,SN,06634265920,,,,,,,70.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,",",,,,,,
48,UBERABA - MG  (ONEIDE),2024-10-03 17:30:04.073,,N,18.0,N,18,0.098,U,RUA MENELICK DE CARVALHO ,2481.0,78746055,06634265920,,bomfrete@bomfrete.com.br,,,,,S,oneidelogistica@hotmail.com,70.0,24073150000940,0043646960019,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,SN,JESSICAM,2024-05-08 15:20:52.139000,RENATA,,,,,,BOA VISTA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,RUA MENELICK DE CARVALHO ,,2481.0,,BOA VISTA,SN,06634265920,,,,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,3,,
59,RONDONOPOLIS - MT 01,2024-12-17 07:25:38.201,,S,18.0,N,1,0.14,U,AVENIDA RENATO VETORASSO BR 163 KM 119,5316.0,78700000,06634265920,,bomfrete@bomfrete.com.br,,SALA 17 POSTO LOCATELLI,,ROO  01,S,faturamento@bomfrete.com.br,85.0,24073150000193,1361336990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,faturamento@bomfrete.com.br,faturamento@bomfrete.com.br,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,SN,ANAPAULAS,2024-10-25 09:52:50.625000,LUCASKP,3.0,,,,,DISTRITO INDUSTRIAL ,,,0.0,,,,,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA ARY COELHO ,,5316.0,78700000,VILA BIRIGUI,SN,06634265920,,,,,N,,85.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,3,,
61,CAMPO NOVO  DO PARECIS - MT 01,2024-11-18 15:19:46.118,,S,18.0,N,1,0.0,U,AVENIDA OLACYR FRANCISCO DE MORAES,5201.0,78360000,06631265920,06634265920,camponovodoparecis@bomfrete.com.br,,SALA 21 POSTO 10,,CNP 01,S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,169,ANAPAULAS,2024-10-25 10:19:44.876000,LUCASKP,3.0,5.0,,,,SETOR INDUSTRIAL ,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA OLACYR FRANCISCO DE MORAES ,,,,,169,06634265920,06634265920,,,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,065998018934,1,,",",,,,,,
37,GERONIMO CIRINO,2024-11-18 15:53:22.317,,S,10.0,N,1,0.0,U,AVENIDA AYRTON SENNA,5290.0,78098970,06634265920,,bomfrete@bomfrete.com.br,,SALA 14 E 15 POSTO ALDO LOCATELLI,,,S,oneidelogistica@hotmail.com,80.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,397,S,2023-02-02 13:58:47.586000,LUCASKP,3.0,,,,,DISTRITO INDUSTRIAL,,,0.0,,,,,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA AYRTON SENNA,KM 397,5290.0,,JARDIM INDUSTRIAL ,,06634265920,,,,,,,80.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,066999737923,,,",",,,,3,,
15,INATIVO PARANAGUA - PR (FÁBIO),2024-12-13 15:38:03.084,,N,7.0,N,1,0.07,U,RUA PARANA,4165.0,85810010,06634265920,06634265920,financeiro@bomfrete.com.br,,,,PARANAGUA (F),S,oneidelogistica@hotmail.com,90.0,24073150000517,9090585204,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,SOMPO SEGUROS,0123456789,4,4,0,,,4.00,300,S,2021-08-19 10:09:25.905000,NATHALYA,3.0,,,,,CENTRO,,,0.0,,,,,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,RUA PARANA,,4165.0,,CENTRO,,06634265920,06634265920,,,,,,90.0,,,,,,,,,,,LIBERADO PELO SR. ONEIDE NA DATA DO DIA 08/05 VIA CONVERSA PESSOAL COM DEPARTAMENTO DA CONTROLADORIA QUESTÃO DA MARGEM EM TIRAR O PARAMETRO DA MESMA.,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,3,,
19,INATIVO - CAMPO NOVO  DO PARECIS - MT (TIAGO PANSIERE) ALGODÃO   ,2024-11-08 15:18:20.260,,N,5.0,N,1,0.0,U,AVENIDA OLACYR FRANCISCO DE MORAES ,5201.0,78360000,,,bomfrete@bomfrete.com.br,,,,,S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,SOMPO SEGUROS,,4,4,0,,,4.00,169,GABRIEL,2022-02-11 08:09:28.052000,NATHALYA,3.0,7.0,,,,SETOR INDUSTRIAL ,7.0,7.0,0.0,7.0,7.0,7.0,7.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,,1,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,",",,,,,,
18,INATIVO - CAMPO NOVO  DO PARECIS - MT (TIAGO PANSIERE)  ,2024-11-08 15:18:24.535,,N,5.0,N,1,0.0,U,AVENIDA OLACYR FRANCISCO DE MORAES ,5201.0,78360000,,,bomfrete@bomfrete.com.br,,,,,S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,SOMPO SEGUROS ,,4,4,0,,,4.00,169,THIAGO,2021-12-17 14:40:11.313000,NATHALYA,3.0,7.0,,,,SETOR INDUSTRIAL ,7.0,7.0,0.0,7.0,7.0,7.0,7.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,",",,,,,,
11,INATIVO - LUCAS DO RIO VERDE - MT (ROGÉRIO),2024-12-13 15:38:23.012,,N,4.0,N,1,0.14,U,"RODOVIA BR 163, KM 173 ",5214.0,78700000,06634265920,,bomfrete@bomfrete.com.br,LUCIO ,,,LRV (R),S,oneidelogistica@hotmail.com,75.0,26073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,SN,THIAGO,2021-02-16 18:53:23.461000,NATHALYA,3.0,5.0,,,,INDUSTRIAL,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENDIA ARY COELHO ,,5316.0,78700000,VILA BIRIGUI,SN,06634265920,,,,,,,75.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,2,,,,,1,,",",,,,,,
41,INATIVO - AGUA BOA  - MT (ROGÉRIO) ,2024-12-13 15:39:00.551,,N,4.0,N,1,0.0,U,RODOVIA MT 240 KM 44,5248.0,,06634265920,06634265920,aguaboa@bomfrete.com.br,,ANEXO AO AUTO POSTO MARTINÃO,,,S,oneidelogistica@hotmail.com,70.0,23073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,SN,THIAGO,2023-08-24 09:56:42.740000,NATHALYA,3.0,5.0,,,,SETOR INDUSTRIAL II,5.0,5.0,0.0,5.0,5.0,5.0,,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,,,,,,,06634265920,06634265920,,,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,,,
14,INATIVO - OSVALDO CRUZ - SP (ROGÉRIO),2024-11-06 14:06:25.843,,N,4.0,N,1,0.07,U,RUA 19 DE NOVEMBRO ,5316.0,,,,bomfrete@bomfrete.com.br,,,,OC (R),S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,SOMPO SEGUROS,0123456789,4,4,0,,,4.00,SN,S,2021-04-16 19:07:36.094000,NATHALYA,3.0,7.0,,,,VILA BIRIGUI ,7.0,7.0,0.0,7.0,7.0,7.0,7.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,RUA 19 DE NOVEMBRO ,,5316.0,,VILA BIRIGUI,SN,,,,,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,018997076000,1,,",",,,,,,
44,FROTA,2024-10-28 12:42:35.542,,S,,N,1,0.0,U,AVENIDA ARY COELHO ,5316.0,78705050,06634265920,06634265920,bomfrete@bomfrete.com.br,,,,MATRIZ ,S,oneidelogistica@hotmail.com,,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,1124,THIAGO,2023-12-04 14:53:34.152000,NATHALYA,1.0,,,,,VILA BIRIGUI ,,,0.0,,,,,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA ARY COELHO ,,5316.0,78705050,VILA BIRIGUI ,1124,06634265920,06634265920,,,,,,,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,,,",",,,,,,
6,INATIVO - RONDONÓPOLIS - MT (OSVALDO) ALGODÃO ,2024-01-03 16:55:25.494,,N,5.0,S,1,0.0,1,RODOVIA BR 163,5316.0,78746055,066996702000,,faturamento@bomfrete.com.br,OSVALDO,SALA 03 BLOCO B ANEXO AO POSTO URSÃO ,,OSVALDO ,S,faturamento@bomfrete.com.br,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,,faturamento@bomfrete.com.br,faturamento@bomfrete.com.br,,SOMPO SEGUROS ,,4,4,0,,,3.00,S/N,THIAGO,2020-09-28 18:51:19.429000,THIAGO,3.0,,,,,PARQUE INDUSTRIAL VETORASSO,,,0.0,,,,,,S,faturamento@bomfrete.com.br,3.00,1,3.00,3.00,3.00,2.00,1,,,,RODOVIA BR 163,SALA 03 BLOCO B ANEXO AO POSTO URSÃO ,5316.0,78746055,PARQUE INDUSTRIAL VETORASSO,S/N,06696702000,,,,,,,70.0,,,,,,,1,,,,,,,,,,,1,,,,,,2,,,,066996702000,,,",",,,,,,
30,INATIVO - SAPEZAL - MT,2024-10-03 18:00:55.897,,N,1.0,S,1,0.14,1,AVENIDA PREFEITO ANDRE ANTONIO MAGGI,5205.0,78385000,06634265920,,bomfrete@bomfrete.com.br,LUIZ PAULO,AG55,,SAPEZAL (E),S,oneidelogistica@hotmail.com,70.0,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,1159,S,2022-07-25 08:42:20.447000,RENATA,3.0,7.0,,,,CIDEZAL 2,7.0,7.0,0.0,7.0,7.0,7.0,7.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENDIA ARY COELHO ,,5316.0,78700000,VILA BIRIGUI,SN,06634265920,,,,,,,70.0,,,,,,,1,,S,,,61383493000180,,,,,,1,,,,,,,,,,,,,",",,,,,,
29,INATIVO - RONDONOPOLIS - MT (RODOLFO),2024-10-03 18:01:46.873,,N,13.0,N,1,0.14,U,"BR 163, KM 119",5316.0,78700000,06634265920,,bomfrete@bomfrete.com.br,,RENATO VETORASSO,,RODOLFO,S,oneidelogistica@hotmail.com,70.0,24073150000193,1361336990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,oneidelogistica@hotmail.com,oneidelogistica@hotmail.com,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,SN,GABRIEL,2022-05-10 10:42:37.844000,RENATA,3.0,,,,,DISTRITO INDUSTRIAL,8.0,8.0,0.0,8.0,8.0,8.0,8.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,AVENIDA ARY COELHO,,5316.0,78700000,VILA BIRIGUI,SN,06634265920,,,,,,,70.0,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,3,,
55,PRIMAVERA DO LESTE - MT 01,2024-12-18 17:30:01.954,,S,18.0,N,1,0.0,U,AV. SÃO PAULO,5299.0,78850000,,,oneide@bomfrete.com.br,,POSTO ALDO LOCATELLI,,,S,faturamento@bomfrete.com.br,,24073150000193,136136990,emonitor.intersite.com.br:/sistemas/emonitor/bd/emonitor.fdb,1,4.00,faturamento@bomfrete.com.br,faturamento@bomfrete.com.br,,TOKIO MARINE SEGUROS ,0123456789,4,4,0,,,4.00,1470,ANAPAULAS,2024-10-25 09:01:19.584000,JESSICAM,3.0,5.0,,,,SETOR INDUSTRIAL,5.0,5.0,0.0,5.0,5.0,5.0,5.0,,S,oneidelogistica@hotmail.com,3.00,1,4.00,4.00,3.00,2.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61383493000180,,,,,,1,,,,,,,,,,,1,,",",,,,,,
