codviagem,data,codmotorista,codviagemws,tabela,chavetabela,status,datainiprev,datafimprev,dataini,datafim,localorigem,latorigem,lonorigem,localdestino,latdestino,londestino,mostrainternetcliente,valores,obs,obs2,usuarioins,usuarioalt,datains,dataalt,transportadora
11,2021-12-21 13:42:08.746,5655,,1.0,14709.0,0,2021-12-21 13:42:08.746,,,,"WALTER SCHLATER 397.272.549-34
CHAPADAO DO SUL-MS CEP: 75828000
BR 050 ROV.GO 050 KM 20 ESQ SN FAZ.SERRI,SN ZONA RURAL
Fone: 00000000000 Compl: 
",0.0,0.0,"COOPERBRAC COOP. AGR. DO BRASIL CENTRAL 15.759.617/0003-24
SAO PAULO-SP CEP: 04220001
AVENIDA PRESIDENTE WILSON,- DE 4153/4154 A 5651/56,4772 VILA INDEPENDENCIA
Fone: 01120636969 Compl: 
",0.0,0.0,N," Peso de saída: 14.760,00 PPT: 0,0000 Frete: 0,00
Mercadoria: ALGODÃO EM PLUMA Valor: 0,00 Tolerância Quebra: 0,2500
","
",,CLOVIS,CLOVIS,2021-12-22 09:08:59.207,2021-12-22 09:08:59.195,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0001-93
RONDONOPOLIS-MT CEP: 78705018
RUA DEZENOVE DE NOVEMBRO ,1377 VILA BIRIGUI
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
12,2022-01-31 17:32:15.388,8103,,1.0,16361.0,0,2022-01-31 17:32:15.388,,,,"SCHEFFER E CIA LTDA - FAZENDA TRES LAGOAS 04.733.767/0018-29
SAPEZAL-MT CEP: 78365000
RODOVIA MT 388 KM 35+4 KM, DIREITA,SN ZONA RURAL
Fone: 06530460710 Compl: 
",0.0,0.0,"DUAL DUARTE ALBUQUERQUE COMERCIO E INDUSTRIA LTDA 24.542.953/0003-01
CAMPO NOVO DO PARECIS-MT CEP: 78360000
AVENIDA ELI ANTONIO BRIZOLA,S/N SETOR INDUSTRIAL
Fone: 06533822611 Compl: LOTE 03 QUADRA432
",0.0,0.0,N," Peso de saída: 33.900,00 PPT: 60,0000 Frete: 2.034,00
Mercadoria: CAROÇO DE ALGODÃO  Valor: 50.850,00 Tolerância Quebra: 0,2500
","
",,VITORM,VITORM,2022-01-31 17:45:18.149,2022-01-31 17:45:18.134,"GRÃOS EM GERAL - BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0002-74
SORRISO-MT CEP: 78894280
AVENIDA PERIMETRAL SUDOESTE ,8245 SÃO CRISTOVÃO 
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
13,2022-02-01 15:57:59.761,8673,,1.0,16396.0,0,2022-02-01 15:57:59.761,,,,"AGROPECUARIA MASUTTI LTDA 26.595.181/0002-10
COMODORO-MT CEP: 78310000
ROD BR 174,588 PADRONAL
Fone: 06533162200 Compl: FAZENDA JK
",0.0,0.0,"S MAGALHAES S.A. LOGISTICA EM COMERCIO EXTERIOR 58.130.089/0023-04
GUARUJA-SP CEP: 11013921
ROD CONEGO DOMENICO RANGONI,7495 VILA AUREA
Fone: 06634343434 Compl: 
",0.0,0.0,N," Peso de saída: 26.330,00 PPT: 402,3619 Frete: 10.594,19
Mercadoria: ALGODAO EM PLUMA Valor: 180.127,81 Tolerância Quebra: 0,2500
","INSTRUCAO S13390.B02 - CONTRATO P01388-P01774PJ - SAFRA 20/21
LOTE 10173 TIPO 42-4 C 110 FDS
",,KELVIN,KELVIN,2022-02-01 16:01:19.930,2022-02-01 16:01:19.926,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0001-93
RONDONOPOLIS-MT CEP: 78705018
RUA DEZENOVE DE NOVEMBRO ,1377 VILA BIRIGUI 
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
14,2022-02-09 07:38:25.586,5322,,1.0,16724.0,0,2022-02-09 07:38:25.586,,,,"INDUSTRIA DE FERTILIZANTES ATLANTICO LTDA 04.406.746/0002-31
PARANAGUA-PR CEP: 83209658
AVENIDA JOSÉ DA COSTA LEITE,251 VILA DO POVO
Fone: 04130388300 Compl: 
",0.0,0.0,"DECIO BARDI DA FONSECA 963.021.518-72
BANDEIRANTES-MS CEP: 79430000
BANDEIRANTES,KM13 
ZONA RURAL
Fone: 06733428885 Compl: FAZ CONQUISTA,
",0.0,0.0,N," Peso de saída: 31.000,00 PPT: 176,6839 Frete: 5.477,20
Mercadoria: FERTILIZANTE - 20.00.20 Valor: 124.174,00 Tolerância Quebra: 0,0000
","CONTA E ORDEM FERTIPAR DOURADOS MS
NF 153083 E 153084 SERIE 1
",,VALCIR,VALCIR,2022-02-09 08:26:44.634,2022-02-09 08:26:44.634,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0005-17
CASCAVEL-PR CEP: 85810010
RUA PARANA ,3000 CENTRO
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
15,2022-02-17 07:17:26.625,7254,,1.0,17114.0,0,2022-02-17 07:17:26.625,,,,"INDUSTRIA DE FERTILIZANTES ATLANTICO LTDA 04.406.746/0002-31
PARANAGUA-PR CEP: 83209658
AVENIDA JOSÉ DA COSTA LEITE,251 VILA DO POVO
Fone: 04130388300 Compl: 
",0.0,0.0,"FERTIPAR FERTILIZANTES DO PARANA LTDA 90.810.706/0039-84
DOURADOS-MS CEP: 79878000
ROD BR 163, KM 277, QUADRA10, LOTE 04,SN VILA SAO PEDRO E VILA VARGAS
Fone: 06734141378 Compl: 
",0.0,0.0,N," Peso de saída: 31.000,00 PPT: 111,3032 Frete: 3.450,40
Mercadoria: FERTILIZANTE 30 00 00 + 6%S Valor: 60.696,82 Tolerância Quebra: 0,0000
","
",,VALCIR,VALCIR,2022-02-17 07:27:57.302,2022-02-17 07:27:57.302,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0005-17
CASCAVEL-PR CEP: 85810010
RUA PARANA ,3000 CENTRO
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
16,2022-03-09 08:46:52.067,9237,,1.0,18288.0,0,2022-03-09 08:46:52.067,,,,"FERTIPAR FERTILIZANTES DO PARANA LTDA 90.810.706/0003-73
PARANAGUA-PR CEP: 83203762
RUA COMENDADOR CORREIA JÚNIOR,1178 29 DE JULHO
Fone: 04133038820 Compl: 
",0.0,0.0,"RITA APARECIDA DE OLIVEIRA - FAZENDA CALIFORNIA 546.237.071-72
GOIATUBA-GO CEP: 75600000
RODOVIA GO 211 KM 6,SN ZONA RURAL
Fone: 06436089624 Compl: 
",0.0,0.0,N," Peso de saída: 37.000,00 PPT: 160,5097 Frete: 5.938,86
Mercadoria: FERTILIZANTE FOSFATO NATURAL R Valor: 58.090,00 Tolerância Quebra: 0,2500
","CONTA E ORDEM FERTIGRAN CATALÃO GO
NF 213341 SERIE 1
",,VALCIR,VALCIR,2022-03-09 09:01:30.737,2022-03-09 09:01:30.737,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0005-17
CASCAVEL-PR CEP: 85810010
RUA PARANA ,3000 CENTRO
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
17,2022-03-10 07:54:23.610,9582,,1.0,18329.0,0,2022-03-10 07:54:23.610,,,,"COOPERBRAC COOP. AGR. DO BRASIL CENTRAL 15.759.617/0003-24
SAO PAULO-SP CEP: 04220001
AVENIDA PRESIDENTE WILSON,- DE 4153/4154 A 5651/56,4772 VILA INDEPENDENCIA
Fone: 01120636969 Compl: 
",0.0,0.0,"TEXTIL CANATIBA LTDA 56.723.091/0001-48
SANTA BARBARA D`OESTE-SP CEP: 13456901
AVENIDA INTERDISTRITAL.COMEND.E.ROMI,350 DIST. INDUSTRIAL
Fone: 01934594000 Compl: 
",0.0,0.0,N," Peso de saída: 28.240,00 PPT: 0,0000 Frete: 0,00
Mercadoria: ALGODÃO EM PLUMA Valor: 517.214,60 Tolerância Quebra: 0,2500
","PEDIDO - FRLT-0007/2020-TIPO-31-4
",,KELVIN,KELVIN,2022-03-10 08:21:01.940,2022-03-10 08:21:01.925,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0002-74
SORRISO-MT CEP: 78894280
AVENIDA PERIMETRAL SUDOESTE ,8245 SÃO CRISTOVÃO 
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
18,2022-03-25 06:45:03.651,9235,,1.0,19077.0,0,2022-03-25 06:45:03.651,,,,"INDUSTRIA DE FERTILIZANTES ATLANTICO LTDA 04.406.746/0002-31
PARANAGUA-PR CEP: 83209658
AVENIDA JOSÉ DA COSTA LEITE,251 VILA DO POVO
Fone: 04130388300 Compl: 
",0.0,0.0,"EDSON DE CARVALHO FRANCO 095.662.601-72
PEROLANDIA-GO CEP: 75823000
FAZ TORRES E BONFIM LUGAR – JERIVA, ROD BR 364, KM 130 A DIR 18 KM
,sn ZONA RURAL
Fone:  Compl: FAZENDA
",0.0,0.0,N," Peso de saída: 8.000,00 PPT: 222,7575 Frete: 1.782,06
Mercadoria: FERTILIZANTE  MAP Valor: 48.150,00 Tolerância Quebra: 0,2500
","CONTA E ORDEM FERTIGRAN CATALÃO GO
NF 214671 SERIE 1
",,VALCIR,VALCIR,2022-03-25 06:47:56.701,2022-03-25 06:47:56.701,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0005-17
CASCAVEL-PR CEP: 85810010
RUA PARANA ,3000 CENTRO
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
19,2022-03-26 13:37:23.341,7659,,1.0,19166.0,0,2022-03-26 13:37:23.341,,,,"MELACOS BRASILEIROS LTDA 44.814.069/0001-24
SALTINHO-SP CEP: 13440000
AVENIDA JOAQUIM MENDES PEREIRA,1077 APARECIDA
Fone: 01934391677 Compl: 
",0.0,0.0,"ITAIQUARA ALIMENTOS S.A. 72.111.321/0001-74
TAPIRATIBA-SP CEP: 13760000
FAZ ITAIQUARA,S N ITAIQUARA
Fone: 06634343434 Compl: 
",0.0,0.0,N," Peso de saída: 34.080,00 PPT: 0,0000 Frete: 0,00
Mercadoria: MELACO DE CANA DE ACUCAR Valor: 73.612,80 Tolerância Quebra: 0,2500
","
",,KELVIN,KELVIN,2022-03-26 14:01:33.174,2022-03-26 14:01:33.158,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0001-93
RONDONOPOLIS-MT CEP: 78705018
RUA DEZENOVE DE NOVEMBRO ,1377 VILA BIRIGUI 
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
20,2022-03-29 20:43:29.094,10068,,1.0,19325.0,0,2022-03-29 20:43:29.094,,,,"EUROCHEM TRADING GMBH 00.000.000/0000-00
RUSSIA-EX CEP: 99999999
INDISPONIVEL,SN INDISPONIVEL
Fone: 00000000000 Compl: INDISPONIVEL
",0.0,0.0,"NUTRISOYA IND E COM DE FERTILIZANTES E BENEFICIAMENTO 23.673.309/0002-29
CATALAO-GO CEP: 75714300
RODOVIA GO 506, KM 13  SETOR CENTRAL,SN ZONA RURAL
Fone: 06481287593 Compl: 
",0.0,0.0,N," Peso de saída: 46.880,00 PPT: 162,9309 Frete: 7.638,20
Mercadoria: KCL 60 GR Valor: 256.802,55 Tolerância Quebra: 0,2500
","DI 22/0512318-0 DE 17/03/2022
NAVIO WESTERN FEDORA
FATURA COMERCIAL 637700F
NOTA MAE Nº 914 DE 17/03/2022
PEDIDO 35332 TICKET 261564
",,VALCIR,VALCIR,2022-03-29 20:57:03.617,2022-03-29 20:57:03.617,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0005-17
CASCAVEL-PR CEP: 85810010
RUA PARANA ,3000 CENTRO
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
21,2022-03-30 14:57:49.866,7839,,1.0,19353.0,0,2022-03-30 14:57:49.866,,,,"AGROPECUARIA MAGGI LTDA 00.315.457/0007-80
SAPEZAL-MT CEP: 78365000
RODOVIA MT 235, KM 133,SN ZONA RURAL
Fone: 06533835641 Compl: 
",0.0,0.0,"DUAL DUARTE ALBUQUERQUE COMERCIO E INDUSTRIA LTDA 24.542.953/0003-01
CAMPO NOVO DO PARECIS-MT CEP: 78360000
AVENIDA ELI ANTONIO BRIZOLA,S/N SETOR INDUSTRIAL
Fone: 06533822611 Compl: LOTE 03 QUADRA432
",0.0,0.0,N," Peso de saída: 27.450,00 PPT: 0,0000 Frete: 0,00
Mercadoria: CAROÇO ALGODÃO Valor: 24.705,00 Tolerância Quebra: 0,2500
","CTE SUBSTITUTO AO 4047
",,KELVIN,KELVIN,2022-03-30 15:00:20.801,2022-03-30 15:00:20.786,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0002-74
SORRISO-MT CEP: 78894280
AVENIDA PERIMETRAL SUDOESTE ,8245 SÃO CRISTOVÃO 
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
22,2022-03-31 16:21:17.322,10084,,1.0,19396.0,0,2022-03-31 16:21:17.322,,,,"UNICOTTON COOPERATIVA DE PRODUTORES DE ALGODAO 36.950.053/0001-10
PRIMAVERA DO LESTE-MT CEP: 78850000
RUA C,315 DIST. IND.
Fone:  Compl: QUADRA 11 LOTE 11
",0.0,0.0,"COOPERBRAC COOP. AGR. DO BRASIL CENTRAL 15.759.617/0003-24
SAO PAULO-SP CEP: 04220001
AVENIDA PRESIDENTE WILSON,- DE 4153/4154 A 5651/56,4772 VILA INDEPENDENCIA
Fone: 01120636969 Compl: 
",0.0,0.0,N," Peso de saída: 28.960,00 PPT: 237,3853 Frete: 6.874,68
Mercadoria: ALGODAO EM PLUMA Valor: 511.767,82 Tolerância Quebra: 0,2500
","VALOR DO CONTRATO R$ 17,7867 / KGS PADRAO 31-3 E 31-4
CONTRATO N 1335/22 PRODUTOR PAULO ROGERIO DE MORAIS MACHADO COOPERADO N 03
SAFRA 20/21 INST EMB: LOTE 1393 C 8 FDS TIPO 31-3 / LOTE 1440 C 117 FDS TIPO 31-4 REF A NF 6392
",,KELVIN,KELVIN,2022-03-31 16:40:28.338,2022-03-31 16:40:28.338,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0001-93
RONDONOPOLIS-MT CEP: 78705018
RUA DEZENOVE DE NOVEMBRO ,1377 VILA BIRIGUI 
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
23,2022-04-04 10:53:46.960,10146,,1.0,19498.0,0,2022-04-04 10:53:46.960,,,,"UNICOTTON COOPERATIVA DE PRODUTORES DE ALGODAO 36.950.053/0001-10
PRIMAVERA DO LESTE-MT CEP: 78850000
RUA C,315 DIST. IND.
Fone:  Compl: QUADRA 11 LOTE 11
",0.0,0.0,"COOPERBRAC COOP. AGR. DO BRASIL CENTRAL 15.759.617/0003-24
SAO PAULO-SP CEP: 04220001
AVENIDA PRESIDENTE WILSON,- DE 4153/4154 A 5651/56,4772 VILA INDEPENDENCIA
Fone: 01120636969 Compl: 
",0.0,0.0,N," Peso de saída: 28.740,00 PPT: 239,7912 Frete: 6.891,60
Mercadoria: ALGODAO EM PLUMA TIPO 31-4 Valor: 507.908,11 Tolerância Quebra: 0,2500
","VALOR DO CONTRATO R$ 17,7867/KG CONTRATO N 1335/22
PRODUTOR: PAULO ROGERIO DE MORAIS MACHADO CCOPERADO N 03
SAFRA 20/21 INT DE EMBARQUE LOTE 1396 C 6 FDS TIPO 31-4 LOTE 1430 C 117 FDS TIPO 31-4
NF DE ORIGEM 6406
",,KELVIN,KELVIN,2022-04-04 11:03:13.810,2022-04-04 11:03:13.800,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0001-93
RONDONOPOLIS-MT CEP: 78705018
RUA DEZENOVE DE NOVEMBRO ,1377 VILA BIRIGUI 
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
24,2022-04-05 15:54:22.523,10146,,1.0,19571.0,0,2022-04-05 15:54:22.523,,,,"COOPERBRAC COOP. AGR. DO BRASIL CENTRAL 15.759.617/0003-24
SAO PAULO-SP CEP: 04220001
AVENIDA PRESIDENTE WILSON,- DE 4153/4154 A 5651/56,4772 VILA INDEPENDENCIA
Fone: 01120636969 Compl: 
",0.0,0.0,"TEXTIL CANATIBA LTDA 56.723.091/0001-48
SANTA BARBARA D`OESTE-SP CEP: 13456901
AVENIDA INTERDISTRITAL.COMEND.E.ROMI,350 DIST. INDUSTRIAL
Fone: 01934594000 Compl: 
",0.0,0.0,N," Peso de saída: 28.740,00 PPT: 0,0000 Frete: 0,00
Mercadoria: ALGODAO EM PLUMA Valor: 526.349,29 Tolerância Quebra: 0,2500
","FRLT-0007-2022-0038
",,KELVIN,KELVIN,2022-04-05 15:57:12.987,2022-04-05 15:57:12.981,"BOM FRETE LOGISTICA E TRANSPORTES LTDA 24.073.150/0002-74
SORRISO-MT CEP: 78894280
AVENIDA PERIMETRAL SUDOESTE ,8245 SÃO CRISTOVÃO 
Fone: 06634265920 EMail: bomfrete@bomfrete.com.br
"
